Name,Source_ID,Alias1,Date_Drilled,Depth_Reference,El_DR_masl,Elev_Method,Total_Depth_m,E_10TM83,N_10TM83,Lat_NAD83,Long_NAD83,Source_CRS,Drilling_Company,Drilling_Method,Driller,Logger,Owner,Well_Presence,Spatial_Precision,Georef,Folder,LogPDF,Purpose,Comment
62,1,,19640615,ground surface,685,SRTM DEM,4.27,656638,5937610,53.585279,-112.632703,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_62.pdf,geology testhole,Only the logger's initials are on the log.
63,1,,19640615,ground surface,682,SRTM DEM,2.74,658290,5937669,53.585316,-112.607717,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_63.pdf,geology testhole,Only the logger's initials are on the log.
64,1,,19640615,ground surface,673,SRTM DEM,2.74,659902,5937723,53.585309,-112.583364,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_64.pdf,geology testhole,Only the logger's initials are on the log.
65,1,,19640608,ground surface,670,SRTM DEM,3.96,661550,5937771,53.585234,-112.558457,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_65.pdf,geology testhole,Only the logger's initials are on the log.
66,1,,19640608,ground surface,672,SRTM DEM,5.49,663178,5937826,53.585224,-112.533836,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_66.pdf,geology testhole,Only the logger's initials are on the log.
67,1,,19640610,ground surface,670,SRTM DEM,2.74,664793,5938003,53.586311,-112.509369,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_67.pdf,geology testhole,Only the logger's initials are on the log. Log description vague; used map position.
68,1,,19640610,ground surface,669,SRTM DEM,2.74,664755,5939514,53.599893,-112.509145,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_68.pdf,geology testhole,Only the logger's initials are on the log. Log description vague; used map position.
69,1,,19640608,ground surface,673,SRTM DEM,3.96,663105,5939454,53.599873,-112.534098,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_69.pdf,geology testhole,Only the logger's initials are on the log.
70,1,,19640608,ground surface,672,SRTM DEM,3.96,661475,5939384,53.599745,-112.558753,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_70.pdf,geology testhole,Only the logger's initials are on the log.
71,1,,19640608,ground surface,671,SRTM DEM,3.96,659865,5939355,53.599983,-112.583084,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_71.pdf,geology testhole,Only the logger's initials are on the log.
72,1,,19640608,ground surface,682,SRTM DEM,5.49,658216,5939298,53.59997,-112.608017,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_72.pdf,geology testhole,Only the logger's initials are on the log.
73,1,,19640608,ground surface,687,SRTM DEM,3.96,656585,5939239,53.599927,-112.632684,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_73.pdf,geology testhole,Only the logger's initials are on the log.
74,1,,19640615,ground surface,688,SRTM DEM,2.74,654978,5939163,53.599727,-112.656996,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_74.pdf,geology testhole,Only the logger's initials are on the log.
75,1,,19640605,ground surface,700,SRTM DEM,19.51,651718,5939058,53.599734,-112.706279,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_75.pdf,geology testhole,Only the logger's initials are on the log. No location on log; used map position.
76,1,,19640620,ground surface,685,SRTM DEM,4.27,653361,5939127,53.599874,-112.681431,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_76.pdf,geology testhole,Only the logger's initials are on the log.
77,1,,19640622,ground surface,699,SRTM DEM,18.29,650111,5939007,53.59974,-112.730588,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_77.pdf,geology testhole,Only the logger's initials are on the log.
78,1,,19640629,ground surface,702,SRTM DEM,18.29,648474,5938955,53.599738,-112.755328,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_78.pdf,geology testhole,Only the logger's initials are on the log.
79,1,,19640624,ground surface,704,SRTM DEM,14.94,646828,5938889,53.599615,-112.780234,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_79.pdf,geology testhole,Only the logger's initials are on the log.
80,1,,19640624,ground surface,710,SRTM DEM,14.02,645211,5938854,53.599749,-112.804667,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_80.pdf,geology testhole,Only the logger's initials are on the log.
81,1,,19640624,ground surface,710,SRTM DEM,19.81,645184,5940461,53.614194,-112.804333,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_81.pdf,geology testhole,Only the logger's initials are on the log.
82,1,,19640624,ground surface,702,SRTM DEM,18.29,646799,5940510,53.614183,-112.7799,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_82.pdf,geology testhole,Only the logger's initials are on the log.
83,1,,19640720,ground surface,705,SRTM DEM,24.38,648425,5940559,53.614171,-112.755303,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_83.pdf,geology testhole,Only the logger's initials are on the log.
84,1,,19640622,ground surface,705,SRTM DEM,30.48,650035,5940620,53.614255,-112.730948,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_84.pdf,geology testhole,Only the logger's initials are on the log.
85,1,,19640620,ground surface,689,SRTM DEM,4.27,653285,5940734,53.614338,-112.68179,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_85.pdf,geology testhole,Only the logger's initials are on the log.
86,1,,19640605,ground surface,697,SRTM DEM,10.36,651666,5940686,53.614376,-112.706275,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_86.pdf,geology testhole,Only the logger's initials are on the log. Log description vague; used map position.
87,1,,19640615,ground surface,693,SRTM DEM,3.35,654929,5940795,53.614402,-112.656917,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_87.pdf,geology testhole,Only the logger's initials are on the log.
88,1,,19640615,ground surface,686,SRTM DEM,2.74,656533,5940849,53.614408,-112.63265,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_88.pdf,geology testhole,Only the logger's initials are on the log.
89,1,,19640608,ground surface,672,SRTM DEM,2.44,658166,5940910,53.614468,-112.607957,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_89.pdf,geology testhole,Only the logger's initials are on the log.
90,1,,19640608,ground surface,672,SRTM DEM,3.96,659789,5940965,53.614468,-112.583398,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_90.pdf,geology testhole,Only the logger's initials are on the log.
91,1,,19640608,ground surface,675,SRTM DEM,3.96,661419,5941022,53.614478,-112.55874,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_91.pdf,geology testhole,Only the logger's initials are on the log.
92,1,,19640609,ground surface,673,SRTM DEM,4.27,663071,5941066,53.614361,-112.533757,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_92.pdf,geology testhole,Only the logger's initials are on the log.
93,1,,19640609,ground surface,669,SRTM DEM,4.27,664699,5941126,53.614392,-112.509138,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_93.pdf,geology testhole,Only the logger's initials are on the log. Map and log locations disagree; used map position.
94,1,,19640609,ground surface,674,SRTM DEM,4.27,664643,5942752,53.629021,-112.509122,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_94.pdf,geology testhole,Only the logger's initials are on the log.
95,1,,19640609,ground surface,670,SRTM DEM,4.27,662997,5942700,53.629063,-112.534023,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_95.pdf,geology testhole,Only the logger's initials are on the log.
96,1,,19640608,ground surface,672,SRTM DEM,3.96,661365,5942625,53.6289,-112.558734,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_96.pdf,geology testhole,Only the logger's initials are on the log.
97,1,,19640608,ground surface,670,SRTM DEM,3.96,659734,5942595,53.629134,-112.583397,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_97.pdf,geology testhole,Only the logger's initials are on the log.
98,1,,19640608,ground surface,672,SRTM DEM,5.49,658106,5942539,53.629122,-112.608022,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_98.pdf,geology testhole,Only the logger's initials are on the log.
99,1,,19640615,ground surface,673,SRTM DEM,2.74,656480,5942480,53.629082,-112.632638,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_99.pdf,geology testhole,Only the logger's initials are on the log.
100,1,,19640615,ground surface,685,SRTM DEM,5.79,654876,5942420,53.629022,-112.656908,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_100.pdf,geology testhole,Only the logger's initials are on the log.
101,1,,19640611,ground surface,691,SRTM DEM,5.49,653227,5942344,53.62882,-112.68187,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_101.pdf,geology testhole,Only the logger's initials are on the log.
102,1,,19640622,ground surface,703,SRTM DEM,10.36,651603,5942310,53.628984,-112.706432,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_102.pdf,geology testhole,Only the logger's initials are on the log.
103,1,,19640622,ground surface,709,SRTM DEM,18.29,649980,5942234,53.628773,-112.731005,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_103.pdf,geology testhole,"Only the logger's initials are on the log. Log location ambiguous, location taken from map."
104,1,,19640720,ground surface,719,SRTM DEM,24.38,648373,5942200,53.628923,-112.755314,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_104.pdf,geology testhole,Only the logger's initials are on the log.
